Make,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),engine_class,mileage,Age,km_year,qcut_km_year,mileage_class,is_retro,is_japan,is_german,is_cargo_passenger,is_off_road,is_mpv,is_open_top
31,2013,6,220000,1500.0,0,,5000.0,3,2,9,24444.0,2,2,0,0,0,1,0,1,0
31,2008,4,232012,1500.0,0,,3700.0,3,2,14,16572.0,1,2,0,0,0,0,0,0,0
18,2018,9,38999,2000.0,0,,24800.0,1,0,4,9750.0,0,0,0,0,0,1,0,0,0
27,2014,3,219000,1500.0,0,,10999.0,3,2,8,27375.0,2,2,0,1,0,1,1,0,0
19,2007,9,300000,2200.0,0,,9200.0,1,2,15,20000.0,2,2,0,0,0,1,0,0,0
22,1994,10,300000,200.0,3,,18000.0,2,2,28,10714.0,0,2,0,1,0,0,0,0,0
39,2011,4,121000,1800.0,2,,7900.0,1,1,11,11000.0,0,2,0,1,0,0,0,0,0
14,2004,11,250000,1500.0,0,,4000.0,3,2,18,13889.0,1,2,0,1,0,1,0,0,0
39,2014,11,200000,1390.0,0,,8600.0,3,2,8,25000.0,2,2,0,1,0,1,0,0,0
1,2013,9,143000,2000.0,4,,17850.0,1,1,9,15889.0,1,1,0,0,1,1,0,0,0
41,2013,11,174000,2000.0,0,,9650.0,1,2,9,19333.0,2,2,0,0,1,1,0,0,0
41,2009,11,200000,1400.0,4,,4800.0,3,2,13,15385.0,1,2,0,0,1,1,0,0,0
27,2007,3,137660,1500.0,0,,6600.0,3,1,15,9177.0,0,2,0,1,0,1,1,0,0
28,2011,11,213548,1300.0,0,,5650.0,3,2,11,19413.0,2,2,0,0,1,1,0,0,0
39,2006,10,193096,1500.0,4,,3700.0,3,2,16,12068.0,1,2,0,1,0,0,0,0,0
28,1992,2,400000,2000.0,3,,1600.0,1,2,30,13333.0,1,2,0,0,1,0,0,0,0
31,2016,3,150425,1500.0,0,,14990.0,3,2,6,25071.0,2,2,0,0,0,1,1,0,0
11,2018,10,105000,2000.0,2,,15000.0,1,1,4,26250.0,2,1,0,0,0,0,0,0,0
41,2000,1,191000,1800.0,3,,3850.0,1,2,22,8682.0,0,2,0,0,1,1,0,0,0
31,1998,4,129448,1600.0,4,,2399.0,3,1,24,5394.0,0,2,0,0,0,0,0,0,0
31,2015,6,168000,1600.0,0,,18650.0,3,2,7,24000.0,2,2,0,0,0,1,0,1,0
2,1994,10,180000,1600.0,4,,2400.0,3,2,28,6429.0,0,2,0,0,1,0,0,0,0
34,2015,3,150000,1400.0,4,,11000.0,3,1,7,21429.0,2,1,0,0,0,1,1,0,0
19,2007,9,223000,2700.0,0,,15000.0,1,2,15,14867.0,1,2,0,0,0,1,0,0,0
41,2011,11,141000,1400.0,4,,9800.0,3,1,11,12818.0,1,2,0,0,1,1,0,0,0
41,2003,10,250000,1922.0,0,,4600.0,1,2,19,13158.0,1,2,0,0,1,0,0,0,0
23,2006,10,250000,2200.0,0,,9999.0,1,2,16,15625.0,1,2,0,0,1,0,0,0,0
28,2011,11,176000,1300.0,0,,6000.0,3,2,11,16000.0,1,2,0,0,1,1,0,0,0
31,2014,11,167000,1500.0,0,,8600.0,3,2,8,20875.0,2,2,0,0,0,1,0,0,0
2,2008,10,387000,300.0,4,,12000.0,2,2,14,27643.0,2,2,0,0,1,0,0,0,0
2,2011,10,180000,2999.0,0,,22000.0,1,2,11,16364.0,1,2,0,0,1,0,0,0,0
29,2006,6,170000,2000.0,0,,2000.0,1,2,16,10625.0,0,2,0,0,0,1,0,1,0
13,2013,9,178500,2200.0,0,,15700.0,1,2,9,19833.0,2,2,0,1,0,1,0,0,0
34,2012,10,265000,1800.0,4,,8999.0,1,2,10,26500.0,2,2,0,0,0,0,0,0,0
23,2002,10,331200,2200.0,0,,6399.0,1,2,20,16560.0,1,2,0,0,1,0,0,0,0
34,2017,10,120000,1999.0,4,,23900.0,1,1,5,24000.0,2,1,0,0,0,0,0,0,0
41,2013,10,110000,1400.0,2,,8000.0,3,1,9,12222.0,1,1,0,0,1,0,0,0,0
14,2010,7,190000,2000.0,0,,12000.0,1,2,12,15833.0,1,2,0,1,0,1,1,1,0
39,2014,4,144947,1496.0,2,,7499.0,3,1,8,18118.0,2,1,0,1,0,0,0,0,0
31,2012,11,180000,1500.0,0,,7499.0,3,2,10,18000.0,2,2,0,0,0,1,0,0,0
2,2012,9,157000,3000.0,4,,17499.0,1,2,10,15700.0,1,2,0,0,1,1,0,0,0
31,2016,10,151130,1500.0,0,,12499.0,3,2,6,25188.0,2,2,0,0,0,0,0,0,0
31,2006,11,170000,2000.0,3,,2900.0,1,2,16,10625.0,0,2,0,0,0,1,0,0,0
27,2011,9,155000,1600.0,4,,9300.0,3,2,11,14091.0,1,2,0,1,0,1,0,0,0
37,2011,4,116000,1400.0,0,,7300.0,3,1,11,10545.0,0,2,0,1,0,0,0,0,0
6,2007,10,185000,1500.0,0,,3400.0,3,2,15,12333.0,1,2,0,0,0,0,0,0,0
27,2015,9,124000,1600.0,0,,13000.0,3,1,7,17714.0,2,1,0,1,0,1,0,0,0
23,2015,11,222000,2000.0,5,,17500.0,1,2,7,31714.0,2,2,0,0,1,1,0,0,0
39,2016,3,133494,2494.0,2,,21500.0,1,1,6,22249.0,2,1,0,1,0,1,1,0,0
23,2001,10,250830,4000.0,0,,4700.0,0,2,21,11944.0,1,2,0,0,1,0,0,0,0
43,2016,10,150000,1596.0,3,,3200.0,3,1,6,25000.0,2,1,0,0,0,0,0,0,0
33,2011,11,190000,1200.0,0,,5100.0,3,2,11,17273.0,2,2,0,0,0,1,0,0,0
27,2012,3,124000,1600.0,4,,9999.0,3,1,10,12400.0,1,1,0,1,0,1,1,0,0
1,1997,10,300000,1800.0,3,,2700.0,1,2,25,12000.0,1,2,0,0,1,0,0,0,0
28,2012,11,200000,1300.0,0,,6000.0,3,2,10,20000.0,2,2,0,0,1,1,0,0,0
5,2006,11,240000,1600.0,0,,2700.0,3,2,16,15000.0,1,2,0,0,0,1,0,0,0
23,2015,10,75000,2000.0,4,,19000.0,1,0,7,10714.0,0,2,0,0,1,0,0,0,0
2,2009,9,192000,200.0,0,,11000.0,2,2,13,14769.0,1,2,0,0,1,1,0,0,0
11,2011,4,130000,1400.0,3,,4700.0,3,1,11,11818.0,0,2,0,0,0,0,0,0,0
42,2015,9,180000,2000.0,4,,26500.0,1,2,7,25714.0,2,2,0,0,0,1,0,0,0
31,2014,11,210000,1500.0,0,,7199.0,3,2,8,26250.0,2,2,0,0,0,1,0,0,0
2,2017,10,77000,2000.0,0,,33000.0,1,1,5,15400.0,1,1,0,0,1,0,0,0,0
14,2012,9,180000,2200.0,0,,16750.0,1,2,10,18000.0,2,2,0,1,0,1,0,0,0
34,2012,10,196000,1600.0,0,,9950.0,3,2,10,19600.0,2,2,0,0,0,0,0,0,0
2,2015,3,159000,1996.0,0,,20500.0,1,2,7,22714.0,2,2,0,0,1,1,1,0,0
27,2013,4,172000,1461.0,0,,6299.0,3,2,9,19111.0,2,2,0,1,0,0,0,0,0
39,2019,3,19000,2500.0,2,,30000.0,1,0,3,6333.0,0,0,0,1,0,1,1,0,0
42,2015,9,155000,1996.0,4,,27800.0,1,2,7,22143.0,2,2,0,0,0,1,0,0,0
20,2016,4,64000,1798.0,2,,16000.0,3,0,6,10667.0,0,2,0,1,0,0,0,0,0
31,2011,4,174000,1461.0,0,,4550.0,3,2,11,15818.0,1,2,0,0,0,0,0,0,0
39,2010,4,187000,1400.0,0,,6500.0,3,2,12,15583.0,1,2,0,1,0,0,0,0,0
39,2007,4,235000,1500.0,0,,5400.0,3,2,15,15667.0,1,2,0,1,0,0,0,0,0
2,2017,10,92000,2993.0,0,,45000.0,1,1,5,18400.0,2,1,0,0,1,0,0,0,0
41,2014,6,180000,1600.0,0,,5800.0,3,2,8,22500.0,2,2,0,0,1,1,0,1,0
28,2011,4,125000,1300.0,0,,3750.0,3,1,11,11364.0,0,2,0,0,1,0,0,0,0
13,2013,3,192000,2200.0,0,,17500.0,1,2,9,21333.0,2,2,0,1,0,1,1,0,0
25,1995,6,300000,2000.0,3,,2500.0,1,2,27,11111.0,0,2,0,1,0,1,0,1,0
